TEAM_ID_HOME,TEAM_ID_AWAY,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,PTS_PAINT_HOME,PTS_2ND_CHANCE_HOME,PTS_FB_HOME,LARGEST_LEAD_HOME,LEAD_CHANGES_HOME,TIMES_TIED_HOME,TEAM_TURNOVERS_HOME,TOTAL_TURNOVERS_HOME,TEAM_REBOUNDS_HOME,PTS_OFF_TO_HOME,PTS_PAINT_AWAY,PTS_2ND_CHANCE_AWAY,PTS_FB_AWAY,LARGEST_LEAD_AWAY,LEAD_CHANGES_AWAY,TIMES_TIED_AWAY,TEAM_TURNOVERS_AWAY,TOTAL_TURNOVERS_AWAY,TEAM_REBOUNDS_AWAY,PTS_OFF_TO_AWAY,ATTENDANCE,PTS_QTR1_HOME,PTS_QTR2_HOME,PTS_QTR3_HOME,PTS_QTR4_HOME,PTS_OT1_HOME,PTS_OT2_HOME,PTS_OT3_HOME,PTS_OT4_HOME,PTS_OT5_HOME,PTS_OT6_HOME,PTS_OT7_HOME,PTS_OT8_HOME,PTS_OT9_HOME,PTS_OT10_HOME,PTS_QTR1_AWAY,PTS_QTR2_AWAY,PTS_QTR3_AWAY,PTS_QTR4_AWAY,PTS_OT1_AWAY,PTS_OT2_AWAY,PTS_OT3_AWAY,PTS_OT4_AWAY,PTS_OT5_AWAY,PTS_OT6_AWAY,PTS_OT7_AWAY,PTS_OT8_AWAY,PTS_OT9_AWAY,PTS_OT10_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
SAC,NYK,39,86,0.453,13,30,0.433,11,11,1,7,31,38,21,5,5,11,18,3,40,88,0.455,6,21,0.286,13,18,0.722,15,33,48,21,8,7,13,19,-3,38,7,10,19,4,3,0,11,3,20,46,14,9,1,4,3,0,13,11,13,17583,32,19,32,19,0,0,0,0,0,0,0,0,0,0,20,26,26,27,0,0,0,0,0,0,0,0,0,0,1,1,1
WAS,IND,35,83,0.422,10,27,0.37,15,19,0.789,10,32,42,21,9,2,15,21,-3,34,77,0.442,8,25,0.32,22,24,0.917,11,32,43,11,10,0,16,18,3,34,16,8,0,0,1,1,15,10,20,28,8,9,17,0,1,0,16,2,17,16646,20,25,20,30,0,0,0,0,0,0,0,0,0,0,30,25,25,18,0,0,0,0,0,0,0,0,0,0,2,1,0
TOR,CHA,35,83,0.422,12,41,0.293,21,27,0.778,9,41,50,22,5,8,15,28,5,32,85,0.376,5,21,0.238,29,35,0.829,9,37,46,16,7,4,9,21,-5,36,10,13,13,1,2,0,15,7,20,38,15,10,2,1,2,0,9,10,11,19800,26,26,30,21,0,0,0,0,0,0,0,0,0,0,21,22,26,29,0,0,0,0,0,0,0,0,0,0,4,0,1
SAS,MEM,35,76,0.461,6,22,0.273,24,31,0.774,4,32,36,18,14,4,12,10,2,42,80,0.525,8,22,0.364,6,9,0.667,6,36,42,26,8,5,20,22,-2,42,9,17,9,18,17,1,12,9,9,56,5,19,8,18,17,0,20,2,26,18418,21,26,23,30,0,0,0,0,0,0,0,0,0,0,23,22,27,26,0,0,0,0,0,0,0,0,0,0,4,0,1
LAL,POR,34,87,0.391,11,37,0.297,24,31,0.774,7,40,47,20,9,7,11,24,-5,35,83,0.422,10,23,0.435,28,38,0.737,7,43,50,19,6,5,14,25,5,40,14,14,12,5,4,1,11,9,6,34,9,21,14,5,4,0,14,12,12,18997,24,31,25,23,0,0,0,0,0,0,0,0,0,0,27,31,15,35,0,0,0,0,0,0,0,0,0,0,0,3,0
CHI,BOS,32,81,0.395,12,33,0.364,13,20,0.65,7,29,36,18,14,1,14,16,-16,41,84,0.488,12,36,0.333,11,12,0.917,12,41,53,25,7,4,20,13,16,26,11,25,0,0,0,1,14,9,22,46,12,15,37,0,0,2,20,2,15,21286,16,13,24,36,0,0,0,0,0,0,0,0,0,0,35,20,31,19,0,0,0,0,0,0,0,0,0,0,1,3,0
CLE,DET,43,88,0.489,12,33,0.364,14,17,0.824,11,42,53,29,8,2,14,18,22,34,87,0.391,12,34,0.353,10,15,0.667,8,32,40,17,9,6,12,22,-22,40,19,14,25,4,5,0,14,7,15,26,10,0,6,4,5,1,12,6,17,20562,26,28,36,22,0,0,0,0,0,0,0,0,0,0,28,21,21,20,0,0,0,0,0,0,0,0,0,0,3,1,1
MIA,PHX,47,92,0.511,12,36,0.333,19,23,0.826,16,35,51,33,12,6,10,14,22,42,87,0.483,10,24,0.417,9,18,0.5,12,28,40,21,3,2,18,20,-22,56,18,7,28,2,6,0,10,5,11,52,20,6,2,2,6,1,18,6,29,19600,30,31,32,32,0,0,0,0,0,0,0,0,0,0,27,21,32,23,0,0,0,0,0,0,0,0,0,0,2,0,1
UTA,ORL,36,73,0.493,10,31,0.323,12,18,0.667,6,42,48,23,8,7,16,22,14,29,85,0.341,11,34,0.324,11,14,0.786,6,30,36,18,7,4,15,19,-14,44,7,8,16,10,3,1,16,7,11,32,13,7,6,10,3,1,15,11,14,18306,25,29,20,20,0,0,0,0,0,0,0,0,0,0,29,15,23,13,0,0,0,0,0,0,0,0,0,0,2,0,1
IND,MIL,33,77,0.429,10,17,0.588,16,21,0.762,8,29,37,18,13,5,15,15,3,34,76,0.447,7,23,0.304,14,16,0.875,8,31,39,15,8,7,18,16,-3,38,8,11,15,9,5,1,15,11,15,36,13,19,6,9,5,2,18,6,29,15874,20,24,29,19,0,0,0,0,0,0,0,0,0,0,17,29,23,20,0,0,0,0,0,0,0,0,0,0,3,1,1
