TEAM_ABBREVIATION_HOME,TEAM_ABBREVIATION_AWAY,FGM_HOME,FG_PCT_HOME,FG3_PCT_HOME,DREB_HOME,AST_HOME,FGM_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,DREB_AWAY,LARGEST_LEAD_HOME,LARGEST_LEAD_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
HOU,MEM,30,0.423,0.294,31,19,39,0.488,0.188,32,2,13,2,2,0
DET,MIA,41,0.418,0.516,36,24,32,0.405,0.3,33,30,3,2,2,1
MIL,SAC,42,0.477,0.419,27,30,44,0.571,0.435,35,2,12,0,2,0
CHA,WAS,39,0.47,0.308,42,22,31,0.356,0.313,30,16,9,2,2,1
MIN,ATL,34,0.415,0.429,38,22,31,0.378,0.258,38,10,6,2,0,1
TOR,CLE,40,0.506,0.44,34,14,36,0.439,0.483,33,10,7,2,1,1
OKC,BKN,41,0.526,0.417,38,26,43,0.457,0.231,34,15,8,1,1,1
NYK,MIA,32,0.376,0.214,32,16,33,0.434,0.412,34,7,21,1,3,0
PHX,GSW,45,0.489,0.385,23,21,46,0.568,0.579,42,0,26,0,4,0
BOS,WAS,42,0.433,0.364,39,28,27,0.321,0.278,33,38,0,4,0,1
LAC,NOP,40,0.482,0.368,44,27,34,0.362,0.25,35,25,2,3,1,1
ORL,MIL,43,0.524,0.444,33,30,31,0.419,0.308,32,29,2,2,2,1
HOU,PHI,38,0.521,0.55,39,21,40,0.482,0.457,25,16,7,2,0,1
IND,CHI,37,0.425,0.286,43,18,32,0.348,0.423,38,17,5,1,3,1
SAC,MIN,37,0.43,0.364,24,21,37,0.481,0.36,34,5,13,0,4,0
DEN,SAS,31,0.403,0.35,29,17,36,0.48,0.364,37,11,20,1,3,0
CHA,CLE,33,0.413,0.2,31,20,34,0.42,0.32,38,8,6,1,3,0
MEM,ATL,35,0.438,0.4,32,20,35,0.467,0.359,34,12,17,0,2,0
OKC,DET,37,0.468,0.292,46,19,31,0.344,0.31,25,17,13,1,1,1
GSW,SAC,39,0.488,0.533,35,32,39,0.39,0.4,29,31,8,4,0,1
SAS,ATL,40,0.471,0.529,37,25,37,0.425,0.231,31,30,5,2,0,1
CLE,BKN,35,0.402,0.333,37,20,33,0.407,0.235,38,4,12,3,1,1
POR,LAL,38,0.487,0.4,34,24,36,0.439,0.304,27,17,2,3,0,1
UTA,NOP,38,0.463,0.5,37,18,29,0.42,0.294,31,21,0,2,2,1
DAL,DEN,33,0.429,0.269,32,18,30,0.4,0.32,35,20,8,3,1,1
WAS,TOR,27,0.329,0.304,32,20,31,0.431,0.458,42,10,5,0,4,0
LAL,IND,38,0.384,0.333,39,17,34,0.41,0.333,41,2,22,0,2,0
NYK,HOU,45,0.577,0.333,38,22,43,0.453,0.28,22,15,5,1,1,0
BKN,DET,35,0.432,0.333,44,15,34,0.337,0.25,32,5,10,1,3,1
LAC,MIN,39,0.52,0.364,32,24,37,0.451,0.5,32,16,6,3,1,1
ORL,BOS,45,0.484,0.36,37,24,36,0.409,0.185,25,21,2,2,2,1
CHA,MIL,27,0.386,0.484,36,20,33,0.402,0.286,33,11,11,3,1,1
TOR,PHX,38,0.442,0.414,35,19,40,0.426,0.407,37,2,12,1,1,0
MEM,PHI,34,0.42,0.308,34,19,30,0.39,0.333,33,11,5,2,0,1
CHI,SAS,37,0.43,0.375,39,25,37,0.411,0.143,35,6,9,1,1,1
LAC,POR,33,0.388,0.421,37,26,33,0.379,0.217,41,17,5,3,1,1
MIA,BOS,36,0.48,0.294,27,21,38,0.475,0.4,28,6,14,0,3,0
DET,HOU,45,0.529,0.348,32,22,35,0.398,0.407,29,28,3,2,0,1
UTA,GSW,40,0.449,0.316,25,18,40,0.488,0.483,31,4,11,0,4,0
MIL,DEN,35,0.455,0.333,30,25,28,0.373,0.316,33,22,3,1,1,1
ATL,OKC,39,0.433,0.357,37,23,37,0.398,0.368,35,16,4,1,1,1
SAC,DAL,36,0.456,0.29,33,22,36,0.429,0.243,31,16,14,3,1,1
PHI,LAL,37,0.468,0.438,37,28,33,0.371,0.235,34,14,14,1,1,1
BKN,PHX,41,0.488,0.308,36,23,33,0.44,0.357,35,11,9,2,0,1
CLE,WAS,28,0.337,0.3,37,15,39,0.47,0.25,37,0,22,2,2,0
POR,DAL,41,0.41,0.375,37,24,43,0.457,0.31,37,11,15,1,2,0
MIN,ORL,29,0.377,0.211,34,14,38,0.442,0.294,33,2,17,0,2,0
NOP,MEM,35,0.432,0.333,28,25,43,0.478,0.2,36,14,11,0,4,0
SAS,MIL,37,0.411,0.333,43,25,26,0.333,0.214,38,29,3,2,0,1
CHI,DEN,36,0.404,0.353,47,22,36,0.387,0.333,36,11,4,1,1,1
NYK,PHI,38,0.432,0.211,42,19,32,0.372,0.3,35,23,0,4,0,1
LAC,IND,30,0.38,0.222,30,19,32,0.421,0.35,38,6,16,1,1,0
HOU,NOP,36,0.414,0.296,33,20,36,0.409,0.28,40,9,14,3,1,1
